x,y,Distance
-18,0,35.26
-18,10,36.14
-18,20,38.22
-18,30,188.43
-18,40,205.53
-18,50,204.68
-12,0,36.35
-12,10,37.16
-12,20,185.81
-12,30,187.12
-12,40,206.24
-12,50,205.96
-6,0,36.91
-6,10,84.93
-6,20,42.65
-6,30,38.52
-6,40,39.51
-6,50,206.18
0,0,38.15
0,10,42.47
0,20,40.51
0,30,39.30
0,40,41.89
0,50,206.75
6,0,38.56
6,10,39.36
6,20,112.30
6,30,43.44
6,40,189.74
6,50,207.32
12,0,39.41
12,10,39.83
12,20,42.48
12,30,112.78
12,40,193.24
12,50,207.62
18,0,40.80
18,10,41.23
18,20,111.16
18,30,113.36
18,40,189.82
18,50,207.38
